DataCode,RecType,Recyear,Season,RecMonth,Recday,TrapDay,Watershed,Line,Sta,Species,Sex,Age,Preg,Cond,Mass,Status,ToeClip,HairClip,REarTag,LEarTag,TailLength,HindFoot,comments,TakenBy
CSM05,2,1999,au,12,7,1,r01a,a,1,x,,,,,,,,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r01a,a,12,pm,f,a,0,6,17.5,an,111,,5000,,59,18.5,,AWReeD
CSM05,2,1999,au,12,7,1,r01a,a,14,pl,m,a,,3,22.5,an,112,,5001,,76,20.5,,AWReeD
CSM05,2,1999,au,12,7,1,r01a,a,16,bh,f,a,0,6,10,dn,,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r01a,a,18,pm,m,a,,3,18.5,an,113,,5002,,63,19,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,16,pl,f,a,0,6,18.5,an,111,,5003,,77,20,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,15,x,,,,,,,,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,14,x,,,,,,,,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,14,pl,m,a,,3,18,an,113,,5004,,64,22,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,12,rmeg,m,a,,3,8,an,111,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,10,pl,f,a,0,6,24.5,an,114,,5005,,80,21,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,10,rmeg,m,a,,3,7.5,an,112,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,6,x,,,,,,,,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,6,pl,f,a,0,6,23,an,115,,5006,,84,22,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,2,x,,,,,,,,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,a,1,x,,,,,,,,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,c,1,x,,,,,,,,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,c,1,pl,m,a,,3,25,an,121,,5007,,75,22.5,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,c,4,pl,m,a,,3,23,an,122,,5008,,74,21.5,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,c,5,pl,m,a,,3,28,an,123,,5009,,87,21.5,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,c,6,pl,f,a,0,6,21,an,124,,5010,,71,20,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,c,7,pl,m,a,,3,24,an,125,,5011,,77,19,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,c,7,pl,f,a,0,6,23,an,131,,5012,,73,21,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,c,9,pl,f,a,0,6,22,an,132,,5013,,71,22,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,c,10,pl,m,a,,3,24,an,134,,5024,,72,21,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,b,19,rmeg,f,a,0,6,8,an,113,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,b,16,pl,f,a,0,6,18,an,135,,5025,,70,20,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,b,15,nf,f,a,0,6,110,an,111,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,b,13,rmeg,m,a,,3,8.5,an,114,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,b,12,bh,f,a,0,6,9.5,dn,,,,,,,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,b,12,pl,f,a,0,6,30,an,141,,5015,,90,22,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,b,9,pl,m,a,,3,24,an,142,,5016,,79,21,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,b,6,pl,f,a,0,6,26,an,143,,5017,,88,20.5,,AWReeD
CSM05,2,1999,au,12,7,1,r20a,b,6,pl,m,a,,3,25,an,144,,5018,,81,22,,AWReeD
