ROWID,DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
10,CSM01,1,1981,AU,N01B-W,6,2,0,8,0,0,0,0,0,0,0,0,0,0
11,CSM01,1,1981,AU,N04D-E,5,1,0,1,0,0,1,0,0,0,0,0,0,0
12,CSM01,1,1981,AU,N04D-W,2,7,0,1,1,0,3,1,0,1,0,0,0,0
13,CSM01,1,1982,AU,004F-E,7,7,1,1,0,0,5,1,0,0,0,0,0,0
14,CSM01,1,1982,AU,004F-W,2,8,0,3,0,0,2,6,0,0,0,0,0,2
15,CSM01,1,1982,AU,004B-E,8,4,0,5,0,0,3,0,1,0,0,0,0,0
16,CSM01,1,1982,AU,004B-W,4,9,1,5,0,0,0,2,0,0,0,1,0,0
17,CSM01,1,1982,AU,001D-E,7,0,0,3,0,1,10,1,0,0,0,0,0,0
18,CSM01,1,1982,AU,001D-W,11,0,0,3,0,0,3,0,0,0,0,1,0,0
19,CSM01,1,1982,AU,020B-E,1,6,0,12,0,0,0,0,0,0,0,2,0,0
20,CSM01,1,1982,AU,020B-W,0,6,0,6,0,0,1,0,0,0,0,0,0,0
21,CSM01,1,1982,AU,N20B-N,8,5,0,4,0,2,3,0,0,0,0,0,0,0
22,CSM01,1,1982,AU,N20B-S,3,1,0,6,0,0,10,0,0,0,0,0,0,0
23,CSM01,1,1982,AU,N01B-E,3,8,0,4,2,1,7,2,0,1,0,2,0,0
24,CSM01,1,1982,AU,N01B-W,3,12,0,6,0,1,2,2,0,0,0,0,0,0
25,CSM01,1,1982,AU,N04D-E,2,9,0,4,0,0,1,1,0,0,0,0,0,0
26,CSM01,1,1982,AU,N04D-W,3,12,0,8,1,0,2,0,0,0,0,0,0,0
27,CSM01,1,1982,SP,004F-E,15,3,4,0,0,2,1,13,0,0,0,0,0,0
28,CSM01,1,1982,SP,004F-W,15,3,1,0,0,0,0,17,0,0,0,0,0,0
29,CSM01,1,1982,SP,004B-E,6,0,1,0,0,0,5,0,0,0,0,1,0,0
30,CSM01,1,1982,SP,004B-W,0,0,0,0,0,0,2,2,0,0,0,3,0,0
31,CSM01,1,1982,SP,001D-E,0,6,0,0,0,0,0,0,0,0,0,0,0,0
32,CSM01,1,1982,SP,001D-W,4,5,1,0,0,0,0,2,0,0,0,0,0,0
33,CSM01,1,1982,SP,020B-E,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,CSM01,1,1982,SP,020B-W,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,CSM01,1,1982,SP,N20B-N,6,5,0,0,0,1,0,0,0,0,1,0,0,0
36,CSM01,1,1982,SP,N20B-S,1,2,0,0,0,1,3,0,0,0,0,0,0,0
37,CSM01,1,1982,SP,N01B-E,5,0,0,0,0,1,2,0,0,0,0,0,0,0
38,CSM01,1,1982,SP,N01B-W,0,4,0,0,0,0,1,2,0,0,0,0,0,0
39,CSM01,1,1982,SP,N04D-E,3,0,0,0,0,2,0,0,0,0,0,0,0,0
40,CSM01,1,1982,SP,N04D-W,3,6,0,1,0,2,2,0,0,0,0,0,0,0
41,CSM01,1,1983,AU,004F-E,4,0,0,1,0,1,0,0,0,0,0,0,0,0
42,CSM01,1,1983,AU,004F-W,4,0,0,1,0,1,0,0,0,0,0,0,0,0
43,CSM01,1,1983,AU,004B-E,4,0,0,0,0,2,0,0,1,0,0,0,0,0
44,CSM01,1,1983,AU,004B-W,7,0,0,3,0,2,0,2,0,0,0,0,0,0
45,CSM01,1,1983,AU,001D-E,3,0,0,0,0,1,0,1,0,0,0,0,0,0
46,CSM01,1,1983,AU,001D-W,1,0,0,1,0,1,0,0,0,0,0,0,0,0
47,CSM01,1,1983,AU,020B-E,3,0,0,4,0,0,0,0,0,0,0,0,0,0
48,CSM01,1,1983,AU,020B-W,0,1,0,2,0,0,0,0,0,0,0,0,0,0
49,CSM01,1,1983,AU,N20B-N,2,0,0,0,0,4,0,0,1,0,0,0,0,0
50,CSM01,1,1983,AU,N20B-S,1,0,0,4,0,1,0,0,0,0,0,0,0,0
51,CSM01,1,1983,AU,N01B-E,0,0,0,3,0,3,0,0,1,0,0,0,0,0
52,CSM01,1,1983,AU,N01B-W,4,1,0,3,0,2,0,2,1,0,0,0,0,0
53,CSM01,1,1983,AU,N04D-E,2,0,0,0,0,1,0,0,0,0,0,0,0,0
54,CSM01,1,1983,AU,N04D-W,1,2,0,2,0,1,0,0,0,0,0,0,0,0
55,CSM01,1,1983,SP,004F-E,2,0,0,0,0,0,0,0,0,0,0,0,0,0
56,CSM01,1,1983,SP,004F-W,2,0,0,0,0,0,0,0,0,0,0,0,0,0
