DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
CSM05,1,1999,AU,001A-A,11,1,0,1,0,0,0,1,0,0,0,0,0,0
CSM05,1,1999,AU,001A-B,6,2,0,0,0,0,0,1,0,0,0,0,0,0
CSM05,1,1999,AU,001A-C,7,0,1,1,0,0,0,0,0,0,0,0,0,0
CSM05,1,1999,AU,020A-A,0,5,1,1,0,0,1,28,0,0,0,0,0,0
CSM05,1,1999,AU,020A-B,0,3,0,1,0,0,0,30,0,0,2,0,0,0
CSM05,1,1999,AU,020A-C,0,0,0,0,0,0,0,19,0,0,0,0,0,0
CSM05,1,2000,AU,R01A-A,0,2,0,0,0,0,1,13,0,0,0,0,0,0
CSM05,1,2000,AU,R01A-B,0,0,2,0,0,0,0,25,0,0,2,0,0,0
CSM05,1,2000,AU,R01A-C,0,0,2,0,0,0,0,10,0,0,0,0,0,0
CSM05,1,2000,AU,R20A-A,6,0,0,0,0,0,0,2,0,0,0,0,0,1
CSM05,1,2000,AU,R20A-B,11,0,4,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2000,AU,R20A-C,7,0,3,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2000,SP,001A-A,5,0,1,0,0,1,0,0,0,0,0,0,0,0
CSM05,1,2000,SP,001A-B,3,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM05,1,2000,SP,001A-C,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2000,SP,020A-A,0,0,1,0,0,0,0,17,0,0,0,0,0,0
CSM05,1,2000,SP,020A-B,0,0,1,0,0,0,0,10,0,0,0,0,0,0
CSM05,1,2000,SP,020A-C,0,0,0,0,0,0,0,20,0,0,0,0,0,0
CSM05,1,2001,AU,R01A-A,2,0,2,0,0,0,0,19,0,0,0,0,0,0
CSM05,1,2001,AU,R01A-B,0,5,11,0,0,0,0,19,0,0,1,0,0,0
CSM05,1,2001,AU,R01A-C,0,1,1,0,0,0,0,10,0,0,0,0,0,0
CSM05,1,2001,AU,R20A-A,2,6,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2001,AU,R20A-B,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2001,AU,R20A-C,8,1,3,0,0,0,1,0,0,0,0,0,0,0
CSM05,1,2001,SP,R01A-A,0,0,0,0,0,0,0,7,0,0,0,0,0,0
CSM05,1,2001,SP,R01A-B,0,0,0,0,0,0,0,10,0,0,1,0,0,0
CSM05,1,2001,SP,R01A-C,0,0,0,0,0,0,0,6,0,0,0,0,0,0
CSM05,1,2001,SP,R20A-A,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2001,SP,R20A-B,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2001,SP,R20A-C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2002,AU,R01A-A,7,5,36,0,0,0,2,7,0,0,6,0,0,0
CSM05,1,2002,AU,R01A-B,0,6,45,0,0,0,2,9,0,0,3,0,0,0
CSM05,1,2002,AU,R01A-C,1,3,23,0,0,0,0,11,0,0,0,0,0,0
CSM05,1,2002,AU,R20A-A,9,19,10,0,0,0,2,0,0,0,0,0,0,0
CSM05,1,2002,AU,R20A-B,8,6,30,1,0,0,1,0,0,0,0,0,0,0
CSM05,1,2002,AU,R20A-C,6,10,6,2,0,0,0,0,0,0,0,0,0,0
CSM05,1,2002,SP,R01A-A,10,5,0,0,0,1,1,14,1,0,2,0,0,0
CSM05,1,2002,SP,R01A-B,0,6,8,0,0,0,2,24,0,0,2,0,0,0
CSM05,1,2002,SP,R01A-C,0,5,2,0,0,0,0,13,0,0,0,0,0,0
CSM05,1,2002,SP,R20A-A,10,11,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2002,SP,R20A-B,10,9,3,0,0,0,0,2,0,0,0,0,0,0
CSM05,1,2002,SP,R20A-C,12,2,2,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2003,SP,R01A-A,8,4,0,0,0,0,2,0,0,0,0,0,0,0
CSM05,1,2003,SP,R01A-B,0,5,8,0,0,0,1,6,0,0,1,0,0,0
CSM05,1,2003,SP,R01A-C,3,8,2,0,0,0,1,4,0,0,0,0,0,0
CSM05,1,2003,SP,R20A-A,5,6,0,0,0,0,5,0,0,0,0,0,0,0
CSM05,1,2003,SP,R20A-B,1,2,0,0,0,0,0,0,0,0,0,2,0,0
CSM05,1,2003,SP,R20A-C,1,1,0,0,0,0,1,0,0,0,0,1,0,0
CSM05,1,2004,AU,R01A-A,11,3,10,0,0,0,1,8,0,0,4,0,0,0
CSM05,1,2004,AU,R01A-B,0,6,21,0,0,0,1,14,0,0,2,0,0,0
CSM05,1,2004,AU,R01A-C,0,6,8,0,0,0,0,6,0,0,0,0,0,0
CSM05,1,2004,AU,R20A-A,22,2,0,3,0,0,3,1,0,0,1,0,0,0
CSM05,1,2004,AU,R20A-B,6,9,6,2,0,0,3,3,0,0,1,0,0,0
CSM05,1,2004,AU,R20A-C,5,8,0,5,0,0,0,0,0,0,0,0,0,0
CSM05,1,2004,SP,R01A-A,3,0,0,0,0,0,0,1,0,0,0,0,0,0
CSM05,1,2004,SP,R01A-B,0,0,0,0,0,0,0,4,0,0,0,0,0,0
CSM05,1,2004,SP,R01A-C,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2004,SP,R20A-A,5,1,0,0,0,0,4,0,0,0,0,1,0,0
CSM05,1,2004,SP,R20A-B,2,0,0,0,0,0,1,0,0,0,0,0,0,0
CSM05,1,2004,SP,R20A-C,2,0,0,0,0,0,1,0,0,0,0,1,0,0
CSM05,1,2005,AU,R01A-A,0,0,4,0,0,0,0,0,0,0,1,0,0,0
CSM05,1,2005,AU,R01A-B,0,0,20,0,0,0,0,5,0,0,3,0,0,0
CSM05,1,2005,AU,R01A-C,0,0,2,0,0,0,0,3,0,0,0,0,0,0
CSM05,1,2005,AU,R20A-A,1,1,0,0,0,0,0,0,0,0,1,0,0,0
CSM05,1,2005,AU,R20A-B,3,1,0,1,0,0,0,0,0,0,0,0,1,0
CSM05,1,2005,AU,R20A-C,1,2,0,0,0,0,0,1,0,0,0,0,0,0
CSM05,1,2005,SP,R01A-A,9,0,0,0,0,0,0,4,0,0,1,0,0,0
CSM05,1,2005,SP,R01A-B,0,1,1,0,0,0,0,17,0,0,0,0,0,0
CSM05,1,2005,SP,R01A-C,0,2,1,0,0,0,0,10,0,0,0,0,0,0
CSM05,1,2005,SP,R20A-A,10,0,0,2,0,1,0,0,0,0,0,0,0,0
CSM05,1,2005,SP,R20A-B,8,0,0,0,0,1,1,6,0,0,0,0,0,0
CSM05,1,2005,SP,R20A-C,7,0,0,1,0,0,0,0,0,0,0,0,0,0
CSM05,1,2006,AU,R01A-A,9,2,0,0,0,0,0,3,1,0,3,0,0,0
CSM05,1,2006,AU,R01A-B,3,9,33,0,0,0,0,2,0,0,1,0,0,0
CSM05,1,2006,AU,R01A-C,0,6,1,0,0,0,0,2,0,0,0,0,0,0
CSM05,1,2006,AU,R20A-A,6,3,1,0,0,0,0,0,0,0,1,0,0,0
CSM05,1,2006,AU,R20A-B,4,5,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2006,AU,R20A-C,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2006,SP,R01A-A,8,2,0,0,0,0,0,1,0,0,2,0,0,0
CSM05,1,2006,SP,R01A-B,2,2,0,0,0,0,0,4,0,0,0,0,0,0
CSM05,1,2006,SP,R01A-C,3,4,0,0,0,0,0,2,0,0,0,0,0,0
CSM05,1,2006,SP,R20A-A,5,1,0,0,0,0,0,0,0,0,0,0,0,0
CSM05,1,2006,SP,R20A-B,3,2,0,1,0,0,0,0,0,0,0,0,0,0
